year,state,county_name,Biden,Trump,mode
2020,TEXAS,GARZA,231,1413,TOTAL
2020,TEXAS,GILLESPIE,3176,12514,TOTAL
2020,TEXAS,GLASSCOCK,39,611,TOTAL
2020,TEXAS,GOLIAD,877,3085,TOTAL
2020,TEXAS,GONZALES,1948,5627,TOTAL
2020,TEXAS,GRAY,829,6840,TOTAL
2020,TEXAS,GRAYSON,14506,44163,TOTAL
2020,TEXAS,GREGG,14796,32493,TOTAL
2020,TEXAS,GRIMES,2833,9432,TOTAL
2020,TEXAS,GUADALUPE,28805,47553,TOTAL
2020,TEXAS,HALE,2279,7177,TOTAL
2020,TEXAS,HALL,168,995,TOTAL
2020,TEXAS,HAMILTON,641,3616,TOTAL
2020,TEXAS,HANSFORD,166,1849,TOTAL
2020,TEXAS,HARDEMAN,241,1330,TOTAL
2020,TEXAS,HARDIN,3474,23858,TOTAL
2020,TEXAS,HARRIS,918193,700630,TOTAL
2020,TEXAS,HARRISON,7908,21466,TOTAL
2020,TEXAS,HARTLEY,195,1868,TOTAL
2020,TEXAS,HASKELL,353,1840,TOTAL
2020,TEXAS,HAYS,59524,47680,TOTAL
2020,TEXAS,HEMPHILL,206,1486,TOTAL
2020,TEXAS,HENDERSON,7060,28911,TOTAL
2020,TEXAS,HIDALGO,128199,90527,TOTAL
2020,TEXAS,HILL,2860,11926,TOTAL
2020,TEXAS,HOCKLEY,1482,6536,TOTAL
2020,TEXAS,HOOD,5648,26496,TOTAL
2020,TEXAS,HOPKINS,3046,12719,TOTAL
2020,TEXAS,HOUSTON,2314,7060,TOTAL
2020,TEXAS,HOWARD,2069,8054,TOTAL
2020,TEXAS,HUDSPETH,371,779,TOTAL
2020,TEXAS,HUNT,8906,29163,TOTAL
2020,TEXAS,HUTCHINSON,965,7681,TOTAL
2020,TEXAS,IRION,120,759,TOTAL
2020,TEXAS,JACK,331,3418,TOTAL
2020,TEXAS,JACKSON,1033,5231,TOTAL
2020,TEXAS,JASPER,2954,12542,TOTAL
2020,TEXAS,JEFF DAVIS,501,784,TOTAL
2020,TEXAS,JEFFERSON,46073,47570,TOTAL
2020,TEXAS,JIM HOGG,1197,833,TOTAL
2020,TEXAS,JIM WELLS,6119,7453,TOTAL
2020,TEXAS,JOHNSON,16464,54628,TOTAL
2020,TEXAS,JONES,999,5660,TOTAL
2020,TEXAS,KARNES,1234,3968,TOTAL
2020,TEXAS,KAUFMAN,18405,37624,TOTAL
2020,TEXAS,KENDALL,6020,20083,TOTAL
2020,TEXAS,KENEDY,65,127,TOTAL
2020,TEXAS,KENT,47,411,TOTAL
2020,TEXAS,KERR,6524,20879,TOTAL
2020,TEXAS,KIMBLE,284,1987,TOTAL
2020,TEXAS,KING,8,151,TOTAL
2020,TEXAS,KINNEY,446,1144,TOTAL
2020,TEXAS,KLEBERG,5314,5504,TOTAL
2020,TEXAS,KNOX,265,1180,TOTAL
2020,TEXAS,LAMAR,4458,16760,TOTAL
2020,TEXAS,LAMB,840,3521,TOTAL
2020,TEXAS,LAMPASAS,2144,8086,TOTAL
2020,TEXAS,LA SALLE,1052,1335,TOTAL
2020,TEXAS,LAVACA,1333,8804,TOTAL
2020,TEXAS,LEE,1750,6255,TOTAL
2020,TEXAS,LEON,1072,7523,TOTAL
2020,TEXAS,LIBERTY,5785,23302,TOTAL
2020,TEXAS,LIMESTONE,2213,6789,TOTAL
2020,TEXAS,LIPSCOMB,131,1205,TOTAL
2020,TEXAS,LIVE OAK,819,4199,TOTAL
2020,TEXAS,LLANO,2465,10079,TOTAL
2020,TEXAS,LOVING,4,60,TOTAL
2020,TEXAS,LUBBOCK,40017,78861,TOTAL
2020,TEXAS,LYNN,428,1853,TOTAL
2020,TEXAS,MCCULLOCH,490,2904,TOTAL
2020,TEXAS,MCLENNAN,36688,59543,TOTAL
2020,TEXAS,MCMULLEN,53,460,TOTAL
2020,TEXAS,MADISON,1088,4169,TOTAL
2020,TEXAS,MARION,1339,3470,TOTAL
2020,TEXAS,MARTIN,288,1857,TOTAL
2020,TEXAS,MASON,457,1991,TOTAL
2020,TEXAS,MATAGORDA,3733,9845,TOTAL
2020,TEXAS,MAVERICK,8332,6881,TOTAL
2020,TEXAS,MEDINA,6773,15642,TOTAL
2020,TEXAS,MENARD,197,823,TOTAL
2020,TEXAS,MIDLAND,12329,45624,TOTAL
2020,TEXAS,MILAM,2496,7984,TOTAL
2020,TEXAS,MILLS,271,2217,TOTAL
2020,TEXAS,MITCHELL,397,2170,TOTAL
2020,TEXAS,MONTAGUE,1097,8615,TOTAL
2020,TEXAS,MONTGOMERY,74377,193382,TOTAL
2020,TEXAS,MOORE,1062,4359,TOTAL
2020,TEXAS,MORRIS,1669,3872,TOTAL
2020,TEXAS,MOTLEY,46,604,TOTAL
2020,TEXAS,NACOGDOCHES,9000,17378,TOTAL
2020,TEXAS,NAVARRO,5101,13800,TOTAL
2020,TEXAS,NEWTON,1173,4882,TOTAL
2020,TEXAS,NOLAN,1162,4131,TOTAL
2020,TEXAS,NUECES,60925,64617,TOTAL
2020,TEXAS,OCHILTREE,302,2812,TOTAL
2020,TEXAS,OLDHAM,81,917,TOTAL
2020,TEXAS,ORANGE,6357,29186,TOTAL
2020,TEXAS,PALO PINTO,2178,10179,TOTAL
2020,TEXAS,PANOLA,2057,9326,TOTAL
2020,TEXAS,PARKER,13017,62045,TOTAL
2020,TEXAS,PARMER,488,2135,TOTAL
2020,TEXAS,PECOS,1382,3215,TOTAL
2020,TEXAS,POLK,5387,18573,TOTAL
2020,TEXAS,POTTER,9921,22820,TOTAL
2020,TEXAS,PRESIDIO,1463,721,TOTAL
2020,TEXAS,RAINS,842,5155,TOTAL
2020,TEXAS,RANDALL,12802,50796,TOTAL
2020,TEXAS,REAGAN,172,942,TOTAL
2020,TEXAS,REAL,320,1643,TOTAL
2020,TEXAS,RED RIVER,1246,4517,TOTAL
2020,TEXAS,REEVES,1395,2254,TOTAL
2020,TEXAS,REFUGIO,1108,2210,TOTAL
2020,TEXAS,ROBERTS,17,529,TOTAL
2020,TEXAS,ROBERTSON,2374,5646,TOTAL
2020,TEXAS,ROCKWALL,16412,36726,TOTAL
2020,TEXAS,RUNNELS,552,3807,TOTAL
2020,TEXAS,RUSK,4629,16534,TOTAL
2020,TEXAS,SABINE,669,4784,TOTAL
2020,TEXAS,SAN AUGUSTINE,980,3007,TOTAL
2020,TEXAS,SAN JACINTO,2337,10161,TOTAL
2020,TEXAS,SAN PATRICIO,8988,16516,TOTAL
2020,TEXAS,SAN SABA,287,2308,TOTAL
2020,TEXAS,SCHLEICHER,211,940,TOTAL
2020,TEXAS,SCURRY,818,4983,TOTAL
